filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_26624_27648.png,"[8, 1, 16]",[-0.67492224 -0.93502748 -1.17786582]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_26624_27648.png,"[8, 1, 16]",[-0.69514136 -0.91302045 -1.18455999]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_14336_15360.png,"[8, 1, 12]",[-0.63180858 -0.92908488 -1.17429355]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_4096_5120.png,"[8, 1, 16]",[-0.7011845  -1.00037298 -1.14892992]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_7168_8192.png,"[8, 1, 16]",[-0.67978799 -0.9783356  -1.1628317 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_19456_20480.png,"[8, 1, 16]",[-0.7049464  -0.9773691  -1.17716934]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_31744_32768.png,"[8, 1, 16]",[-0.6575492  -0.97147584 -1.21759275]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_24576_25600.png,"[8, 1, 16]",[-0.714734   -0.92190224 -1.18439366]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_12288_13312.png,"[8, 1, 12]",[-0.68108747 -0.97380147 -1.17236939]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_27648_28672.png,"[8, 1, 16]",[-0.69229963 -0.92354669 -1.1760078 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_30720_31744.png,"[8, 1, 12]",[-0.68531215 -0.95907896 -1.20154223]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_12288_13312.png,"[8, 1, 16]",[-0.6784077  -0.96154523 -1.18871735]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_4096_5120.png,"[8, 1, 16]",[-0.68182463 -0.97816894 -1.14976584]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_6144_7168.png,"[8, 1, 16]",[-0.71552046 -0.97964206 -1.14126131]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_16384_17408.png,"[8, 1, 16]",[-0.63931392 -0.96131482 -1.18609329]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_18432_19456.png,"[8, 1, 16]",[-0.69346334 -0.97334267 -1.16116414]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_24576_25600.png,"[8, 1, 16]",[-0.65763162 -0.9185433  -1.18075078]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_28672_29696.png,"[8, 1, 16]",[-0.7127527  -0.95184374 -1.19964339]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_12288_13312.png,"[8, 1, 12]",[-0.70282256 -0.96275886 -1.17356728]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_13312_14336.png,"[8, 1, 16]",[-0.67423735 -0.96706611 -1.15534002]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_16384_17408.png,"[8, 1, 16]",[-0.715027   -0.96755417 -1.19109782]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_12288_13312_33792_34816.png,"[8, 1, 16]",[-0.69942095 -0.93634339 -1.18558855]
