filename,top_labels,top_scores
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_12288_13312.png,"[8, 1, 12]",[-0.70281337 -0.96274629 -1.1736451 ]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_13312_14336.png,"[8, 1, 16]",[-0.67423264 -0.96705746 -1.15533541]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_16384_17408.png,"[8, 1, 16]",[-0.71502014 -0.96754236 -1.19108527]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_12288_13312_33792_34816.png,"[8, 1, 16]",[-0.69941307 -0.93633575 -1.18557998]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_2048_3072.png,"[8, 1, 16]",[-0.69322852 -0.99700485 -1.15996015]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_18432_19456.png,"[8, 1, 16]",[-0.69245467 -0.95400044 -1.19511486]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_21504_22528.png,"[8, 1, 16]",[-0.66959052 -0.98271327 -1.20001378]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_18432_19456.png,"[8, 1, 16]",[-0.65296411 -0.95271815 -1.18583151]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_26624_27648.png,"[8, 1, 16]",[-0.67679856 -0.91716577 -1.19313504]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_10240_11264.png,"[8, 1, 16]",[-0.70292062 -0.98026204 -1.14083027]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_23552_24576.png,"[8, 1, 16]",[-0.70681813 -0.93147975 -1.18769244]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_22528_23552.png,"[8, 1, 16]",[-0.6454094  -0.96755666 -1.19906691]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_17408_18432.png,"[8, 1, 16]",[-0.67463848 -1.00004078 -1.18343535]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_8192_9216.png,"[8, 1, 16]",[-0.67510308 -0.96475979 -1.14231705]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_7168_8192.png,"[8, 1, 12]",[-0.70940655 -0.96980158 -1.14182703]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_10240_11264.png,"[8, 1, 16]",[-0.67698985 -0.95407943 -1.17451631]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_16384_17408.png,"[8, 1, 16]",[-0.66278155 -0.9764533  -1.16332063]
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_29696_30720.png,"[8, 1, 16]",[-0.69293969 -0.96065264 -1.17351452]
