filename,top_3_labels
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_17408_18432.png,"[('Commercial', 0.2), ('Park', 0.2), ('Pond', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_8192_9216.png,"[('Forest', 0.5), ('Pond', 0.35), ('River', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_7168_8192.png,"[('Commercial', 0.3), ('Park', 0.25), ('Forest', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_10240_11264.png,"[('Commercial', 0.25), ('Industrial', 0.15), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_16384_17408.png,"[('Beach', 0.4), ('Forest', 0.35), ('Meadow', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_29696_30720.png,"[('Industrial', 0.9), ('Commercial', 0.1), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_25600_26624.png,"[('Industrial', 0.5), ('Commercial', 0.2), ('railwayStation', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_15360_16384.png,"[('Commercial', 0.55), ('Industrial', 0.2), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_26624_27648.png,"[('Bridge', 0.2), ('Commercial', 0.2), ('Industrial', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_22528_23552.png,"[('River', 0.25), ('Forest', 0.2), ('Pond', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_15360_16384.png,"[('Park', 0.55), ('Commercial', 0.3), ('footballField', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_6144_7168.png,"[('Forest', 0.7), ('Mountain', 0.2), ('Industrial', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_4096_5120.png,"[('Commercial', 0.45), ('Mountain', 0.15), ('Forest', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_23552_24576.png,"[('Park', 0.35), ('Commercial', 0.25), ('River', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_4096_5120.png,"[('railwayStation', 0.55), ('Commercial', 0.3), ('Industrial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_9216_10240.png,"[('Bridge', 0.3), ('Port', 0.3), ('Pond', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_32768_33792.png,"[('Desert', 0.95), ('Mountain', 0.05), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_6144_7168.png,"[('Forest', 0.5), ('Beach', 0.25), ('Meadow', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_10240_11264.png,"[('Park', 0.25), ('Commercial', 0.2), ('Forest', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_10240_11264.png,"[('Forest', 0.5), ('Commercial', 0.2), ('Mountain', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_20480_21504.png,"[('Park', 0.5), ('footballField', 0.2), ('Commercial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_31744_32768.png,"[('Desert', 0.7), ('Beach', 0.3), ('Airport', 0.0)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_17408_18432_29696_30720.png,"[('River', 0.3), ('Park', 0.25), ('Bridge', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_8192_9216.png,"[('Forest', 0.6), ('Beach', 0.3), ('Mountain', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_26624_27648.png,"[('Park', 0.35), ('Commercial', 0.3), ('railwayStation', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_25600_26624.png,"[('Industrial', 0.5), ('Commercial', 0.1), ('railwayStation', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_26624_27648.png,"[('Industrial', 0.25), ('railwayStation', 0.15), ('Bridge', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_15360_16384_16384_17408.png,"[('Commercial', 0.6), ('Park', 0.25), ('Mountain', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_20480_21504.png,"[('River', 0.4), ('Pond', 0.3), ('Bridge', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_7168_8192.png,"[('Park', 0.4), ('Commercial', 0.35), ('footballField', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_14336_15360_30720_31744.png,"[('Beach', 0.4), ('Desert', 0.3), ('Meadow', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_22528_23552.png,"[('Commercial', 0.5), ('Industrial', 0.25), ('railwayStation', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_3072_4096.png,"[('Forest', 0.65), ('Beach', 0.15), ('Meadow', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_17408_18432.png,"[('Commercial', 0.65), ('Industrial', 0.15), ('Park', 0.1)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_19456_20480_20480_21504.png,"[('Commercial', 0.4), ('Industrial', 0.25), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_18432_19456_19456_20480.png,"[('Bridge', 0.3), ('Park', 0.3), ('River', 0.25)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_20480_21504_27648_28672.png,"[('River', 0.3), ('Industrial', 0.25), ('Commercial', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_13312_14336_17408_18432.png,"[('River', 0.35), ('Bridge', 0.3), ('Park', 0.15)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_14336_15360.png,"[('River', 0.35), ('Park', 0.3), ('Commercial', 0.2)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_21504_22528_7168_8192.png,"[('Mountain', 0.8), ('Forest', 0.15), ('River', 0.05)]"
GF2_PMS2_E120.2_N30.3_20211125_L1A0006079461-pansharpen_16384_17408_7168_8192.png,"[('Forest', 0.35), ('Mountain', 0.15), ('Pond', 0.15)]"
